Year,First Name,Sex,Count
2013,AALIYAH,F,255
2013,AARAV,M,6
2013,AARON,M,462
2013,ABBY,F,19
2013,ABDOULAYE,M,12
2013,ABDULLAH,M,27
2013,ABEL,M,30
2013,ABIGAIL,F,652
2013,ABRAHAM,M,226
2013,ADA,F,13
2013,ADAM,M,362
2013,ADDISON,F,187
2013,ADELE,F,15
2013,ADELINE,F,5
2013,ADELYN,F,17
2013,ADEN,M,32
2013,ADINA,F,13
2013,ADRIAN,M,324
2013,ADRIANA,F,148
2013,ADRIANNA,F,87
2013,ADRIEL,M,10
2013,ADYAN,M,10
2013,AHARON,M,19
2013,AHMAD,M,10
2013,AHMED,M,61
2013,AHUVA,F,32
2013,AIDAN,M,203
2013,AIDEN,M,869
2013,AILEEN,F,5
2013,AISHA,F,43
2013,AKIVA,M,27
2013,ALAINA,F,14
2013,ALAN,M,136
2013,ALANA,F,63
2013,ALANNA,F,5
2013,ALBERT,M,51
2013,ALEC,M,10
2013,ALEENA,F,33
2013,ALEJANDRO,M,91
2013,ALESSANDRA,F,32
2013,ALESSIA,F,20
2013,ALEX,M,207
2013,ALEXA,F,254
2013,ALEXANDER,M,977
2013,ALEXANDRA,F,244
2013,ALEXANDRIA,F,18
2013,ALEXIA,F,48
2013,ALEXIS,M,48
2013,ALEXIS,F,113
2013,ALI,M,63
2013,ALICE,F,129
2013,ALICIA,F,31
2013,ALINA,F,68
2013,ALISA,F,12
2013,ALISON,F,31
2013,ALIVIA,F,11
2013,ALIYAH,F,56
2013,ALIZA,F,27
2013,ALLAN,M,10
2013,ALLEN,M,30
2013,ALLIE,F,11
2013,ALLISON,F,230
2013,ALMA,F,10
2013,ALTER,M,5
2013,ALVIN,M,38
2013,ALYSON,F,6
2013,ALYSSA,F,199
2013,AMADOU,M,10
2013,AMANDA,F,77
2013,AMARI,M,37
2013,AMAYA,F,50
2013,AMBER,F,83
2013,AMELIA,F,369
2013,AMINA,F,42
2013,AMINATA,F,17
2013,AMIR,M,187
2013,AMIRA,F,21
2013,AMIYAH,F,17
2013,AMY,F,184
2013,ANA,F,41
2013,ANABELLE,F,10
2013,ANAIS,F,10
2013,ANASTASIA,F,60
2013,ANAYA,F,42
2013,ANDERSON,M,72
2013,ANDRE,M,27
2013,ANDREA,F,83
2013,ANDRES,M,20
2013,ANDREW,M,570
2013,ANDY,M,76
2013,ANGEL,M,312
2013,ANGEL,F,18
2013,ANGELA,F,77
2013,ANGELICA,F,12
2013,ANGELINA,F,208
2013,ANGELO,M,71
2013,ANGIE,F,42
2013,ANISA,F,13
2013,ANIYAH,F,31
2013,ANNA,F,273
2013,ANNABEL,F,5
2013,ANNABELLA,F,16
2013,ANNABELLE,F,90
2013,ANNE,F,17
2013,ANSON,M,16
2013,ANTHONY,M,929
2013,ANTONELLA,F,5
2013,ANTONIO,M,138
2013,ANYA,F,10
2013,ARABELLA,F,5
2013,ARI,M,34
2013,ARIA,F,212
2013,ARIANA,F,247
2013,ARIANNA,F,332
2013,ARIEL,M,26
2013,ARIEL,F,93
2013,ARIELLA,F,59
2013,ARIELLE,F,55
2013,ARMANI,M,22
2013,ARON,M,92
2013,ARTHUR,M,40
2013,ARYA,F,23
2013,ARYAN,M,21
2013,ARYE,M,10
2013,ARYEH,M,29
2013,ASHER,M,102
2013,ASHLEY,F,343
2013,ASHTON,M,79
2013,ATHENA,F,33
2013,AUBREE,F,45
2013,AUBREY,F,244
2013,AUDREY,F,159
2013,AUGUST,M,31
2013,AURORA,F,24
2013,AUSTIN,M,292
2013,AUTUMN,F,88
2013,AVA,F,833
2013,AVERY,M,89
2013,AVERY,F,345
2013,AVRAHAM,M,67
2013,AVROHOM,M,32
2013,AVRUM,M,16
2013,AXEL,M,92
2013,AYAAN,M,41
2013,AYAN,M,21
2013,AYDEN,M,227
2013,AYLA,F,11
2013,AYLIN,F,10
2013,BAILA,F,73
2013,BAILEY,F,21
2013,BARUCH,M,10
2013,BATSHEVA,F,32
2013,BEATRICE,F,16
2013,BELLA,F,189
2013,BEN,M,23
2013,BENJAMIN,M,715
2013,BENNETT,M,13
2013,BENSON,M,11
2013,BENTLEY,M,40
2013,BENZION,M,19
2013,BIANCA,F,38
2013,BINYOMIN,M,7
2013,BLAKE,F,6
2013,BLAKE,M,237
2013,BLIMA,F,30
2013,BLIMY,F,35
2013,BORUCH,M,11
2013,BRACHA,F,23
2013,BRADLEY,M,89
2013,BRADY,M,57
2013,BRANDEN,M,5
2013,BRANDON,M,408
2013,BRANTLEY,M,15
2013,BRAYAN,M,10
2013,BRAYDEN,M,263
2013,BREINDY,F,18
2013,BRENDAN,M,43
2013,BRENNAN,M,7
2013,BRIAN,M,183
2013,BRIANA,F,29
2013,BRIANNA,F,274
2013,BRIDGET,F,15
2013,BRIELLA,F,14
2013,BRIELLE,F,138
2013,BRITNEY,F,11
2013,BRITTANY,F,23
2013,BRODY,M,97
2013,BROOKE,F,140
2013,BROOKLYN,F,60
2013,BROOKLYNN,F,5
2013,BRUCHA,F,8
2013,BRUCHY,F,11
2013,BRYAN,M,165
2013,BRYANNA,F,13
2013,BRYCE,M,101
2013,BRYCEN,M,5
2013,BRYNN,F,33
2013,BRYSON,M,21
2013,CADEN,M,16
2013,CAIDEN,M,30
2013,CAITLIN,F,10
2013,CAITLYN,F,14
2013,CALEB,M,353
2013,CALI,F,5
2013,CALLIE,F,6
2013,CALVIN,M,28
2013,CAMDEN,M,45
2013,CAMERON,F,10
2013,CAMERON,M,273
2013,CAMILA,F,248
2013,CAMILLA,F,10
2013,CAMILLE,F,23
2013,CAMRYN,F,6
2013,CARLOS,M,139
2013,CARLY,F,5
2013,CARMELO,M,24
2013,CARMINE,M,5
2013,CAROLINE,F,119
2013,CARSON,M,51
2013,CARTER,M,435
2013,CASEY,M,5
2013,CASEY,F,5
2013,CASSANDRA,F,6
2013,CASSIDY,F,21
2013,CATALINA,F,10
2013,CATHERINE,F,107
2013,CAYDEN,M,56
2013,CAYLA,F,6
2013,CECELIA,F,7
2013,CECILIA,F,59
2013,CELINE,F,24
2013,CESAR,M,22
2013,CHAIM,M,206
2013,CHANA,F,173
2013,CHANCE,M,18
2013,CHANY,F,39
2013,CHARLEIGH,F,5
2013,CHARLES,M,323
2013,CHARLEY,F,5
2013,CHARLIE,M,47
2013,CHARLOTTE,F,525
2013,CHASE,M,308
2013,CHAVA,F,42
2013,CHAVY,F,15
2013,CHAYA,F,211
2013,CHELSEA,F,91
2013,CHESKEL,M,7
2013,CHESKY,M,11
2013,CHLOE,F,525
2013,CHRIS,M,41
2013,CHRISTIAN,M,544
2013,CHRISTINA,F,58
2013,CHRISTINE,F,20
2013,CHRISTOPHER,M,741
2013,CINDY,F,21
2013,CLAIRE,F,136
2013,CLARA,F,85
2013,CODY,M,15
2013,COLE,M,107
2013,COLETTE,F,10
2013,COLIN,M,163
2013,COLLIN,M,17
2013,COLTON,M,154
2013,CONNOR,M,327
2013,CONOR,M,16
2013,COOPER,M,102
2013,CORA,F,37
2013,CRISTIAN,M,75
2013,CRISTIANO,M,6
2013,CRISTOFER,M,5
2013,CRYSTAL,F,35
2013,CYNTHIA,F,21
2013,DAISY,F,21
2013,DAKOTA,F,5
2013,DAMIAN,M,76
2013,DAMIEN,M,18
2013,DAMON,M,16
2013,DANICA,F,10
2013,DANIEL,M,1030
2013,DANIELA,F,73
2013,DANIELLA,F,101
2013,DANIELLE,F,48
2013,DANNA,F,41
2013,DANNY,M,42
2013,DANTE,M,26
2013,DAPHNE,F,29
2013,DARIEL,M,16
2013,DARREN,M,29
2013,DARWIN,M,5
2013,DAVID,M,866
2013,DEAN,M,64
2013,DECLAN,M,141
2013,DELANEY,F,29
2013,DELILAH,F,68
2013,DENIS,M,5
2013,DENNIS,M,17
2013,DENZEL,M,11
2013,DEREK,M,130
2013,DERRICK,M,5
2013,DESMOND,M,22
2013,DESTINY,F,55
2013,DEVIN,M,70
2013,DEVORA,F,25
2013,DEVORAH,F,53
2013,DIANA,F,70
2013,DIEGO,M,82
2013,DILAN,M,10
2013,DINA,F,49
2013,DOMINIC,M,298
2013,DOMINICK,M,64
2013,DONOVAN,M,6
2013,DOV,M,29
2013,DOVID,M,37
2013,DREW,M,10
2013,DUVID,M,10
2013,DYLAN,M,900
2013,DYLAN,F,12
2013,EASON,M,17
2013,EASTON,M,8
2013,EDDIE,M,13
2013,EDEN,F,29
2013,EDEN,M,13
2013,EDGAR,M,12
2013,EDUARDO,M,5
2013,EDWARD,M,154
2013,EDWIN,M,72
2013,EFRAIM,M,22
2013,EILEEN,F,17
2013,ELAINE,F,12
2013,ELEANOR,F,89
2013,ELENA,F,90
2013,ELI,M,308
2013,ELIANA,F,189
2013,ELIAS,M,134
2013,ELIEZER,M,48
2013,ELIJAH,M,527
2013,ELIMELECH,M,17
2013,ELINA,F,10
2013,ELISA,F,12
2013,ELISE,F,35
2013,ELISHEVA,F,17
2013,ELIYAHU,M,17
2013,ELIZA,F,44
2013,ELIZABETH,F,404
2013,ELLA,F,431
2013,ELLE,F,16
2013,ELLIANA,F,19
2013,ELLIE,F,80
2013,ELLIOT,M,53
2013,ELLIOTT,M,13
2013,ELOISE,F,35
2013,ELVIS,M,10
2013,EMANUEL,M,28
2013,EMELY,F,90
2013,EMERSON,F,10
2013,EMERY,M,7
2013,EMILIA,F,77
2013,EMILIO,M,11
2013,EMILY,F,825
2013,EMMA,F,1209
2013,EMMANUEL,M,140
2013,EMMETT,M,30
2013,ERIC,M,217
2013,ERICA,F,11
2013,ERICK,M,75
2013,ERIK,M,5
2013,ERIN,F,58
2013,ESMERALDA,F,12
2013,ESTER,F,5
2013,ESTHER,F,317
2013,ESTY,F,37
2013,ETHAN,M,1137
2013,ETTY,F,22
2013,EVA,F,193
2013,EVAN,M,388
2013,EVANGELINE,F,17
2013,EVE,F,10
2013,EVELYN,F,281
2013,EVERETT,M,39
2013,EZEKIEL,M,16
2013,EZEQUIEL,M,6
2013,EZRA,M,73
2013,FAIGA,F,29
2013,FAIGY,F,97
2013,FAITH,F,96
2013,FARAH,F,10
2013,FATIMA,F,74
2013,FATOUMATA,F,29
2013,FELIX,M,72
2013,FERNANDO,M,31
2013,FINN,M,30
2013,FIONA,F,118
2013,FRADEL,F,18
2013,FRAIDY,F,34
2013,FRANCES,F,10
2013,FRANCESCA,F,40
2013,FRANCESCO,M,5
2013,FRANCIS,M,10
2013,FRANCISCO,M,26
2013,FRANK,M,56
2013,FREDERICK,M,6
2013,FRIMET,F,12
2013,GABRIEL,M,549
2013,GABRIELA,F,92
2013,GABRIELLA,F,461
2013,GABRIELLE,F,77
2013,GAEL,M,69
2013,GAGE,M,5
2013,GARRETT,M,10
2013,GAVIN,M,411
2013,GAVRIEL,M,11
2013,GEMMA,F,20
2013,GENESIS,F,227
2013,GENEVIEVE,F,25
2013,GEORGE,M,131
2013,GEORGIA,F,21
2013,GERARD,M,6
2013,GIA,F,76
