FEDERAL COST OF SCHOOL FOOD PROGRAMS 1]								
"(Data as of November 06, 2015)"								
    	Cash Payments				Commodity Costs 2]			    
    	National	School	    	    	    	    	    	Total
Fiscal 	School	Break-	Special	    	Entitle-	    	    	Federal
Year 	Lunch	fast 3]	Milk	Total	ment 4]	Bonus	Total	Cost
    	--------------------------------------Millions of Dollars-------------------------------							
1969	203.8	5.4	101.3	310.5	272.0	--	272.0	582.5
1970	300.2	10.8	101.2	412.2	265.2	--	265.2	679.4
1971	532.2	19.4	91.2	642.8	277.3	--	277.3	920.1
1972	738.7	24.9	90.3	853.9	312.1	--	312.1	"1,166.0"
1973	882.1	34.6	90.8	"1,007.5"	331.0	--	331.0	"1,338.5"
1974	"1,085.4"	59.1	49.2	"1,193.7"	316.1	--	316.1	"1,509.8"
1975	"1,289.0"	86.1	122.9	"1,498.0"	423.5	--	423.5	"1,921.5"
1976	"1,491.5"	113.7	138.5	"1,743.7"	418.6	--	418.6	"2,162.3"
1977	"1,570.3"	148.6	150.0	"1,868.9"	540.8	--	540.8	"2,409.7"
1978	"1,808.3"	181.2	135.3	"2,124.8"	485.3	57.6	542.9	"2,667.7"
1979	"1,983.7"	231.0	133.6	"2,348.3"	675.3	69.6	744.9	"3,093.2"
1980	"2,279.4"	287.8	145.2	"2,712.4"	765.5	139.0	904.5	"3,616.9"
1981	"2,380.6"	331.7	100.8	"2,813.1"	578.9	316.3	895.2	"3,708.3"
1982	"2,185.4"	317.3	18.3	"2,521.0"	426.2	330.8	757.0	"3,278.0"
1983	"2,401.8"	343.8	17.4	"2,763.0"	426.8	374.1	800.9	"3,563.9"
1984	"2,507.7"	364.0	16.0	"2,887.7"	440.5	386.9	827.4	"3,715.1"
1985	"2,578.4"	379.3	15.8	"2,973.5"	456.0	345.2	801.3	"3,774.8"
1986	"2,714.6"	406.3	15.5	"3,136.4"	445.7	376.2	821.9	"3,958.3"
1987	"2,797.1"	446.8	15.5	"3,259.4"	448.5	439.6	888.2	"4,147.6"
1988	"2,916.4"	482.1	18.7	"3,417.2"	466.3	347.4	813.7	"4,230.9"
1989	"3,005.2"	513.4	18.5	"3,537.1"	472.7	291.5	764.1	"4,301.3"
1990	"3,213.9"	599.2	19.2	"3,832.2"	463.2	154.1	617.3	"4,449.5"
1991	"3,524.6"	689.9	19.8	"4,234.3"	590.0	109.1	699.1	"4,933.4"
1992	"3,856.1"	791.1	19.5	"4,666.8"	583.1	119.8	702.9	"5,369.7"
1993	"4,081.3"	873.3	18.7	"4,973.4"	577.8	90.5	668.4	"5,641.8"
1994	"4,290.7"	963.6	17.8	"5,272.0"	629.2	96.2	725.3	"5,997.4"
1995	"4,466.2"	"1,049.0"	17.0	"5,532.2"	611.8	81.8	693.6	"6,225.8"
1996	"4,661.5"	"1,118.8"	16.8	"5,797.1"	647.2	45.8	693.0	"6,490.1"
1997	"4,934.1"	"1,214.3"	17.4	"6,165.8"	590.9	28.8	619.7	"6,785.4"
1998	"5,101.6"	"1,272.2"	16.8	"6,390.6"	642.5	85.7	728.2	"7,118.8"
1999	"5,314.5"	"1,345.5"	16.5	"6,676.5"	661.1	43.8	704.9	"7,381.4"
2000	"5,492.9"	"1,393.3"	15.4	"6,901.6"	606.6	48.6	655.2	"7,556.8"
2001	"5,612.3"	"1,450.1"	15.5	"7,078.0"	802.2	60.6	862.8	"7,940.8"
2002	"6,049.6"	"1,566.7"	16.1	"7,632.3"	720.6	82.6	803.3	"8,435.6"
2003	"6,340.6"	"1,651.8"	14.3	"8,006.7"	696.9	151.7	848.7	"8,855.3"
2004	"6,663.1"	"1,775.8"	14.2	"8,453.1"	762.5	200.5	963.0	"9,416.1"
2005	"7,055.3"	"1,927.2"	16.4	"8,998.9"	824.0	151.1	975.1	"9,974.0"
2006	"7,387.9"	"2,041.9"	14.6	"9,444.4"	772.9	29.4	802.3	"10,246.7"
2007	"7,706.1"	"2,163.5"	13.6	"9,883.2"	"1,017.0"	16.2	"1,033.2"	"10,916.4"
2008	"8,264.8"	"2,365.5"	14.9	"10,645.1"	"1,034.0"	18.5	"1,052.5"	"11,697.6"
2009	"8,874.5"	"2,582.6"	14.1	"11,471.2"	933.7	185.4	"1,119.1"	"12,590.3"
2010	"9,751.7"	"2,859.2"	11.9	"12,622.9"	"1,044.1"	83.8	"1,127.9"	"13,750.8"
2011	"10,105.0"	"3,034.2"	12.3	"13,151.5"	"1,031.4"	163.7	"1,195.2"	"14,346.7"
2012	"10,414.1"	"3,277.0"	12.3	"13,703.3"	"1,157.1"	7.1	"1,164.1"	"14,867.5"
2013	"11,057.4"	"3,513.9"	10.7	"14,582.1"	"1,157.2"	5.8	"1,163.0"	"15,745.1"
2014	"11,355.7"	"3,685.4"	10.5	"15,051.5"	"1,300.3"	1.5	"1,301.8"	"16,353.4"
								
FY 2014 data are preliminary; all data are subject to revision. 								
1] Does not include payments for the Federal share of State administrative expenses.								
2] Food distribution costs represent the value of food distributed during the fiscal year.								
3] Excludes start-up costs.								
4] Includes cash-in-lieu of commodities and Commodity Schools.								
